Brand,Model,Price,Kms_driven,Fuel_type,Transmission,Ownership,Rating,State
2020 Tata Tiago,XE PETROL,₹3.76 lakh,71.17k km,Petrol,Manual,1st owner,CARS24 Assured,"Thiruverkadu, Chennai"
2018 Maruti Wagon R 1.0,LXI CNG,₹2.56 lakh,1.2L km,Petrol,Manual,2nd owner,Verified Owner,Banpurwa Kanpur
2018 Hyundai Elite i20,ASTA 1.4 CRDI (O),₹4.99 lakh,71.80k km,Diesel,Manual,1st owner,Verified Owner,Pratap Nagar Jodhpur
2010 Maruti Swift Dzire,VXI,₹0.80 lakh,75.93k km,Petrol,Manual,1st owner,Verified Owner,Bistupur Jamshedpur
2013 Volkswagen Jetta,,₹2.30 lakh,84.01k km,Diesel,Manual,2nd owner,Verified Owner,Namda Basti Jamshedpur
2015 Hyundai i10,MAGNA 1.1,₹1.59 lakh,1.1L km,Petrol,Manual,3rd owner,Verified Owner,Vaishali Nagar Ajmer Rajasthan
2020 Maruti Swift,VXI,₹5.45 lakh,58.25k km,Petrol,Manual,1st owner,Verified Dealer,"Opp Kripa Dham Mandir, Industrial Estate, Kanpur"
2024 Tata NEXON,PURE SUNROOF 1.2 PETROL,₹7.82 lakh,11.41k km,Petrol,Manual,1st owner,Verified Owner,Narendrapur Rajpur Sonarpur
2022 Maruti Baleno,DELTA PETROL 1.2,₹5.50 lakh,86.60k km,Petrol,Manual,1st owner,Verified Owner,Baldev Nagar Jodhpur
2023 KIA SONET,HTK PLUS 1.0 IMT,₹9.07 lakh,39.39k km,Petrol,Manual,1st owner,CARS24 Assured,"Nexus Vijaya Mall, Vadapalani"
2019 Renault Kwid,RXL,₹3.00 lakh,78.23k km,Petrol,Manual,2nd owner,Verified Owner,Maqbool Pura Amritsar
2011 Hyundai i10,MAGNA 1.1,₹1.75 lakh,77.79k km,Petrol,Manual,1st owner,Verified Dealer,"Surya Vihar, Pachpedi Naka, Raipur"
2018 Hyundai Xcent,E+ 1.2 CRDI,₹2.55 lakh,62.49k km,Diesel,Manual,3rd owner,Verified Owner,Civil Lines Bareilly
2017 Maruti Ertiga,VXI,₹7.59 lakh,96.24k km,Petrol,Manual,1st owner,Verified Owner,Lodhi Estate New Delhi
2012 Maruti Wagon R 1.0,LXI CNG,₹1.38 lakh,1.1L km,Petrol,Manual,2nd owner,Verified Owner,Nagalpur Mehsana Gujarat
2018 Ford FREESTYLE,TREND 1.2 PETROL,₹2.50 lakh,1.1L km,Petrol,Manual,1st owner,Verified Owner,Jai Prakash Nagar Ranchi
2017 Hyundai Grand i10,,₹3.74 lakh,91.62k km,Petrol,Manual,1st owner,CARS24 Assured,"Bachupally, Hyderabad"
2015 Maruti Wagon R 1.0,VXI,₹1.97 lakh,41.96k km,Petrol,Manual,3rd owner,Verified Owner,Duttapukur Chandrapur West Bengal
2017 Maruti Celerio,ZXI (O),₹2.40 lakh,76.87k km,Petrol,Manual,2nd owner,Verified Owner,Sarvodaya Colony Hapur
2017 Mahindra Scorpio,S10,₹11.89 lakh,75.95k km,Diesel,Manual,1st owner,Verified Owner,Vishwas Nagar Bathinda Punjab
2022 Hyundai GRAND I10 NIOS,,₹5.33 lakh,46.25k km,Petrol,Manual,1st owner,CARS24 Assured,"M3M Urbana, Golf Course Ext., Gurugram"
2014 Maruti Wagon R 1.0,VXI,₹2.25 lakh,1.7L km,Petrol,Manual,1st owner,Verified Owner,Air Force Area Jodhpur
2010 Volkswagen Vento,,₹1.79 lakh,49.31k km,Petrol,Manual,1st owner,Verified Owner,Badharghat Agartala
2023 Nissan MAGNITE,XV TURBO,₹8.15 lakh,14.51k km,Petrol,Manual,1st owner,CARS24 Assured,"Kakkanad, Kochi"
2016 Maruti Alto 800,LXI,₹2.00 lakh,86.82k km,Petrol,Manual,1st owner,Verified Owner,AGS Green Shalimar Alwar Rajasthan Alwar
2013 Hyundai Verna,FLUIDIC 1.6 CRDI SX,₹3.38 lakh,1.2L km,Diesel,Manual,3rd owner,Verified Owner,Karimnagar Karimnagar Telangana
2021 Maruti Swift,LXI,₹5.14 lakh,43.99k km,Petrol,Manual,1st owner,Verified Owner,Karan Vihar Karnal
2012 Hyundai Eon,ERA +,₹1.19 lakh,1.4L km,Petrol,Manual,4th owner,Verified Owner,Gayatri Nagar Bhilwara
2023 Nissan MAGNITE,XV PREMIUM TURBO,₹8.07 lakh,12.07k km,Petrol,Manual,1st owner,CARS24 Assured,"Thiruverkadu, Chennai"
2020 Toyota URBAN CRUISER,,₹7.68 lakh,36.53k km,Petrol,Manual,1st owner,CARS24 Assured,"Kakkanad, Kochi"
2022 Tata NEXON,XZ PLUS (O) PETROL,₹9.83 lakh,32.87k km,Petrol,Manual,1st owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2018 Maruti Ciaz,DELTA 1.5 SHVS MT PETROL,₹5.05 lakh,84.92k km,Petrol,Manual,2nd owner,Verified Owner,New Colony Palwal
2018 Datsun Redi Go,T(O) 1.0 AMT,₹1.77 lakh,36.41k km,Petrol,Auto,3rd owner,Verified Owner,Berana Road Himatnagar Gujarat
2016 Mahindra Kuv100,K8 6 STR,₹3.18 lakh,69.55k km,Petrol,Manual,2nd owner,Verified Owner,Janta Nagar Siliguri
2021 Hyundai GRAND I10 NIOS,,₹4.65 lakh,84.48k km,Petrol,Manual,1st owner,Verified Owner,MV9V+VM5 Nuna Majra Haryana
2021 Hyundai VENUE,S 1.2,₹6.59 lakh,55.12k km,Petrol,Manual,1st owner,CARS24 Assured,"Akshar Chowk, Akota - Mujmahuda Road, Vadodara"
2013 Hyundai i20,MAGNA 1.2,₹2.29 lakh,79.50k km,Petrol,Manual,2nd owner,Verified Owner,Sardarpura Jodhpur Rajasthan
2013 Maruti Ritz,VXI,₹1.80 lakh,91.97k km,Petrol,Manual,1st owner,Verified Dealer,"Near Dabali Dali, Ranchi"
2018 Renault Captur,RXT PETROL,₹7.94 lakh,65.53k km,Petrol,Manual,1st owner,CARS24 Assured,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore"
2018 Maruti Dzire,LXI,₹3.35 lakh,86.43k km,Petrol,Manual,2nd owner,Verified Owner,Gokul Nagar Jamnagar Gujarat
2014 Hyundai Eon,D-LITE+,₹1.75 lakh,64.03k km,Petrol,Manual,2nd owner,CARS24 Assured,"Kakkanad, Kochi"
2020 Maruti Swift,VXI,₹5.04 lakh,58.52k km,Petrol,Manual,2nd owner,CARS24 Assured,"Upperpally, Attapur, Hyderabad"
2018 Hyundai NEW SANTRO,,₹4.00 lakh,1.1L km,Petrol,Manual,1st owner,Verified Owner,Pen Raigad Maharashtra
2016 Maruti Swift Dzire,VXI,₹3.50 lakh,92.92k km,Petrol,Manual,3rd owner,Verified Owner,Madhavpuri Mathura Uttar Pradesh
2017 Datsun Redi Go,T(O) 1.0,₹1.72 lakh,61.91k km,Petrol,Manual,2nd owner,CARS24 Assured,"Akshar Party, Rajkot"
2010 Hyundai i20,SPORTZ (O) 1.2,₹2.15 lakh,78.84k km,Petrol,Manual,3rd owner,Verified Dealer,"Bahu Bazaar ,Dhumsatoli, Ranchi"
2014 Hyundai Grand i10,ASTA 1.1 CRDI (O),₹4.18 lakh,64.68k km,Diesel,Manual,1st owner,CARS24 Assured,"GT World Mall, Bengaluru"
2011 Toyota Fortuner,3.0 4X4 MT,₹5.98 lakh,1.7L km,Diesel,Manual,2nd owner,Verified Owner,Sector 12 Karnal Haryana
2014 Maruti Wagon R 1.0,LXI,₹3.31 lakh,62.36k km,Petrol,Manual,1st owner,Verified Dealer,"Gas Quarters, Karond, Bhopal"
2016 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,₹4.66 lakh,79.44k km,Petrol,Manual,1st owner,CARS24 Assured,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore"
2014 Maruti Swift,ZDI,₹3.91 lakh,80.32k km,Diesel,Manual,2nd owner,Verified Dealer,"Changurabhata, Raipur"
2022 Hyundai GRAND I10 NIOS,,₹6.28 lakh,14.36k km,Petrol,Manual,1st owner,Verified Owner,Laxmipura Sagar
2022 Tata NEXON,XZ PLUS (L) DARK EDITION,₹10.95 lakh,3.24k km,Petrol,Manual,1st owner,CARS24 Assured,"Kompally, Hyderabad"
2014 Toyota Etios,G SP,₹2.30 lakh,80.34k km,Petrol,Manual,3rd owner,Verified Owner,Aligarh Sarsaul Uttar Pradesh
2021 Hyundai NEW SANTRO,,₹5.02 lakh,78.98k km,Petrol,Manual,1st owner,CARS24 Assured,"Navalur, Chennai"
2017 Maruti Baleno,ZETA PETROL 1.2,₹3.64 lakh,82.03k km,Petrol,Manual,1st owner,Verified Owner,Rangbari Kota
2012 Hyundai i10,MAGNA 1.2,₹2.30 lakh,71.42k km,Petrol,Manual,1st owner,Verified Dealer,"Guru Nanak Car Bazar,Rajinder Nagar, Amritsar"
2017 Maruti Ertiga,VDI SHVS,₹7.75 lakh,87.54k km,Diesel,Manual,1st owner,Verified Dealer,"Surya Vihar, Pachpedi Naka, Raipur"
2019 Hyundai Creta,SX SPORTS EDITION 1.6 DIESEL,₹7.45 lakh,74.01k km,Diesel,Manual,2nd owner,CARS24 Assured,"Gomti Nagar, Lucknow"
2013 Maruti Wagon R 1.0,LXI,₹1.90 lakh,60.63k km,Petrol,Manual,3rd owner,Verified Owner,Ganjipura Jabalpur Madhya Pradesh
2013 Maruti Swift Dzire,LXI,₹2.80 lakh,76.94k km,Petrol,Manual,2nd owner,Verified Owner,Modinagar Ghaziabad Uttar Pradesh
2023 KIA SONET,HTK PLUS 1.0 IMT,₹8.30 lakh,60.67k km,Petrol,Manual,1st owner,CARS24 Assured,"CARS24 Network, Paidleganj, Gorakhpur"
2012 Maruti Wagon R 1.0,LXI,₹1.40 lakh,85.26k km,Petrol,Manual,2nd owner,Verified Owner,Sanjay Gandhi Transport Nagar Delhi
2018 Maruti Vitara Brezza,,₹5.34 lakh,82.43k km,Diesel,Manual,1st owner,Verified Owner,Simoliya Ranchi
2015 Maruti Celerio,ZXI,₹2.44 lakh,88.18k km,Petrol,Manual,1st owner,Verified Owner,Vishwalaxmi Nagar Mathura Uttar Pradesh
2022 Maruti Ciaz,ZETA AT 1.5 SHVS PETROL,₹9.19 lakh,25.34k km,Petrol,Auto,1st owner,Verified Owner,Sector 18 Gurugram
2010 Honda City,1.5L I-VTEC S MT,₹1.26 lakh,50.59k km,Petrol,Manual,5th owner,Verified Owner,Birati North Dumdum
2024 Volkswagen TAIGUN,,₹11.06 lakh,7.12k km,Petrol,Manual,1st owner,CARS24 Assured,"Newtown, Kolkata"
2010 Maruti Alto K10,LXI,₹1.42 lakh,49.29k km,Petrol,Manual,2nd owner,Verified Owner,258 Hari Sing Nagar Bakshi Nagar
2013 Maruti Swift Dzire,TOUR DIESEL,₹1.50 lakh,1.2L km,Diesel,Manual,1st owner,Verified Owner,Janam Bhumi Mathura Uttar Pradesh
2017 Tata Tiago,XE PETROL,₹3.40 lakh,55.24k km,Petrol,Manual,1st owner,CARS24 Assured,"CARS24 Network, Anaj Mandi, Kashipur"
2022 Nissan MAGNITE,XL,₹5.00 lakh,15.07k km,Petrol,Manual,1st owner,Verified Owner,Semmancheri Dhakia Jatt
2013 Hyundai Grand i10,,₹3.45 lakh,80.22k km,Diesel,Manual,1st owner,CARS24 Assured,"Bachupally, Hyderabad"
2019 Tata Tiago,XE PETROL,₹3.50 lakh,81.35k km,Petrol,Manual,1st owner,Verified Owner,Awadhpuri Bhopal Madhya Pradesh
2016 Ford Ecosport,TITANIUM 1.5L DIESEL,₹3.50 lakh,1.5L km,Diesel,Manual,1st owner,Verified Owner,Kalyanpur Kanpur Uttar Pradesh
2018 Honda Amaze,1.2L I-VTEC V,₹5.50 lakh,57.12k km,Petrol,Manual,1st owner,Verified Dealer,"Sultanwind Chowk, Amritsar"
2018 Maruti Vitara Brezza,,₹4.88 lakh,94.42k km,Diesel,Manual,1st owner,Verified Owner,Surya Nagar Bakalpur Mathura Uttar Pradesh
2014 Maruti Wagon R 1.0,VXI,₹2.00 lakh,22.67k km,Petrol,Manual,1st owner,Verified Owner,Shibpur Howrah West Bengal
2019 Honda City,1.5L I-DTEC SV,₹6.70 lakh,53.32k km,Diesel,Manual,1st owner,Verified Dealer,"Puri Bypass Road, Chhak, Near Pandara, Bhubaneswar"
2011 Tata Nano,CX,₹0.50 lakh,48.84k km,Petrol,Manual,2nd owner,Verified Owner,Panchavati Nashik
2016 Renault Kwid,RXT 1.0 AMT,₹1.58 lakh,1.4L km,Petrol,Auto,1st owner,Verified Owner,Gurgaon Rural Gurugram
2023 Hyundai Verna,SX 1.5 l MPI,₹11.45 lakh,18.22k km,Petrol,Manual,1st owner,Verified Owner,Tamjai Nagar Satara Maharashtra
2022 KIA SONET,HTX 1.0 IMT,₹9.46 lakh,24.10k km,Petrol,Manual,1st owner,CARS24 Assured,"Singanallur, Coimbatore"
2024 Renault Kiger,RXL MT,₹6.00 lakh,5.18k km,Petrol,Manual,1st owner,CARS24 Assured,"CARS24 Network, 200ft. Khelgaon Road, Udaipur"
2019 Renault Kwid,RXT 1.0 AMT,₹2.30 lakh,27.54k km,Petrol,Auto,2nd owner,Verified Owner,Rai Purwa Kanpur Uttar Pradesh
2017 Renault Kwid,RXL,₹1.77 lakh,44.84k km,Petrol,Manual,1st owner,Verified Owner,J K Puri Kanpur Uttar Pradesh
2022 Tata Tiago,XM CNG,₹4.63 lakh,59.04k km,CNG,Manual,1st owner,CARS24 Assured,"Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2013 Hyundai i20,ASTA 1.4 CRDI,₹2.37 lakh,2.0L km,Diesel,Manual,3rd owner,Verified Owner,Azad Nagar Bhilwara Rajasthan
2016 Maruti Swift Dzire,VXI,₹3.75 lakh,84.79k km,Petrol,Manual,1st owner,CARS24 Assured,"Dewas Naka, Lasudia Mori"
2018 Honda City,1.5L I-VTEC V MT,₹4.75 lakh,1.4L km,Petrol,Manual,2nd owner,Verified Owner,Mahavirnagar Himatnagar
2019 Ford Ecosport,TITANIUM 1.5L PETROL AT,₹7.75 lakh,59.73k km,Petrol,Auto,1st owner,CARS24 Assured,"Kompally, Hyderabad"
2014 Hyundai Eon,ERA +,₹1.50 lakh,88.30k km,Petrol,Manual,3rd owner,Verified Owner,Sidheshwer Colony Dharashiv (Osmanabad)
2015 Maruti Swift Dzire,VXI,₹3.13 lakh,1.8L km,Petrol,Manual,2nd owner,Verified Owner,Dhurwa Ranchi Jharkhand
2013 Maruti Wagon R 1.0,LXI,₹1.82 lakh,80.47k km,Petrol,Manual,2nd owner,Verified Owner,Gopal Nagar Bareilly Uttar Pradesh
2012 Maruti Swift Dzire,VXI,₹2.56 lakh,54.25k km,Petrol,Manual,3rd owner,CARS24 Assured,"Tathawade, Pune"
2015 Hyundai Grand i10,ASTA 1.1 CRDI,₹2.70 lakh,88.75k km,Diesel,Manual,2nd owner,Verified Owner,Vivekanand Wadi Anand Gujarat
2019 Mahindra Scorpio,S11 2WD,₹12.50 lakh,97.45k km,Diesel,Manual,1st owner,CARS24 Assured,"CARS24 Network, Anaj Mandi, Kashipur"
2017 Maruti IGNIS,ZETA 1.2,₹2.96 lakh,56.97k km,Petrol,Manual,2nd owner,Verified Owner,Civil Lines Kanpur Uttar Pradesh
2017 Ford Ecosport,TITANIUM 1.5L PETROL,₹6.49 lakh,70.43k km,Petrol,Manual,1st owner,CARS24 Assured,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore"
2021 Mahindra XUV300,W6 1.2 PETROL AMT,₹10.08 lakh,48.05k km,Petrol,Auto,2nd owner,Verified Owner,Vengalloor Thodupuzha Kerala
2023 Maruti Grand Vitara,,₹12.00 lakh,32.78k km,Petrol,Manual,1st owner,CARS24 Assured,"Dewas Naka, Lasudia Mori"
2010 Maruti A Star,VXI,₹1.65 lakh,93.89k km,Petrol,Manual,1st owner,Verified Dealer,"Near Dabali Dali, Ranchi"
2021 Maruti Vitara Brezza,,₹7.00 lakh,65.56k km,Petrol,Manual,2nd owner,Verified Owner,Chanod Vapi Gujarat
2021 Maruti S PRESSO,LXI,₹3.39 lakh,22.43k km,Petrol,Manual,1st owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2023 Tata NEXON,XZ PLUS LUX SUNROOF DARK PETROL,₹12.46 lakh,11.08k km,Petrol,Manual,2nd owner,CARS24 Assured,Gandhi Nagar
2013 Honda Brio,E MT,₹1.62 lakh,29.72k km,Petrol,Manual,4th owner,Verified Owner,Ratan Lal Nagar Kanpur
2018 Tata Tiago,WIZZ EDITION PETROL,₹3.05 lakh,69.96k km,Petrol,Manual,2nd owner,CARS24 Assured,"Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2011 Volkswagen Vento,,₹2.27 lakh,1.4L km,Diesel,Manual,4th owner,Verified Owner,Raviwar Peth Belagavi Karnataka
2015 Ford Figo Aspire,,₹3.46 lakh,1.4L km,Diesel,Manual,2nd owner,Verified Owner,near sachin Hyundai showroom Haldwani Uttarakhand
2014 Hyundai Xcent,S 1.2,₹3.98 lakh,34.85k km,Petrol,Manual,1st owner,Verified Dealer,"Kamod Nagar, Nashik"
2014 Maruti Swift Dzire,VDI,₹2.30 lakh,1.1L km,Diesel,Manual,4th owner,Verified Owner,New Rajendra Nagar Raipur
2020 Tata ALTROZ,XZ PETROL,₹6.18 lakh,20.36k km,Petrol,Manual,1st owner,Verified Owner,Podum Nagar 2 Dibrugarh
2018 Maruti Baleno,SIGMA DIESEL 1.3,₹4.43 lakh,71.37k km,Diesel,Manual,1st owner,CARS24 Assured,"Kompally, Hyderabad"
2007 Hyundai Verna,XXI,₹0.79 lakh,88.65k km,Petrol,Manual,2nd owner,Verified Owner,Altinho Panaji
2012 Maruti Swift Dzire,VDI,₹3.10 lakh,1.6L km,Diesel,Manual,2nd owner,Verified Owner,Betora Ponda Goa
2018 Maruti Dzire,VXI,₹4.73 lakh,24.29k km,Petrol,Manual,1st owner,Verified Owner,Aravali Vihar Alwar Rajasthan
2015 Hyundai i20 Active,1.4 SX,₹2.80 lakh,1.2L km,Diesel,Manual,1st owner,Verified Owner,New Vishnupuri Aligarh Uttar Pradesh
2024 Tata TIAGO EV,XZ PLUS TECH LUX LONG RANGE,₹7.75 lakh,15.05k km,Electric,Auto,2nd owner,CARS24 Assured,"CARS24 Network, NH16 Service Road, Guntur"
2016 Maruti Swift,VDI ABS,₹3.75 lakh,67.26k km,Diesel,Manual,1st owner,Verified Dealer,"Shastri Nagar Govind Nagar, Kanpur"
2013 Hyundai i20,MAGNA (O) 1.2,₹2.33 lakh,51.02k km,Petrol,Manual,2nd owner,Verified Owner,Ajay Nagar Ajmer Rajasthan
2016 Honda Amaze,1.2L I-VTEC VX AT,₹4.00 lakh,84.70k km,Petrol,Auto,2nd owner,Verified Owner,Vidya Nagar Barshi
2010 Volkswagen Polo,,₹1.33 lakh,95.43k km,Diesel,Manual,1st owner,Verified Owner,Maan Colony Baghori
2020 Hyundai Verna,SX 1.5 CRDI,₹9.34 lakh,83.90k km,Diesel,Manual,1st owner,Verified Owner,Khema-Ka-Kuwa Jodhpur Rajasthan
2016 Datsun Redi Go,T (O),₹1.60 lakh,70.60k km,Petrol,Manual,3rd owner,CARS24 Assured,"Mulund West, Mumbai"
2013 Maruti Wagon R 1.0,VXI,₹1.95 lakh,43.99k km,Petrol,Manual,1st owner,Verified Owner,Sector 22 Gandhinagar
2015 Maruti Eeco,5 STR CNG WITH HTR,₹1.90 lakh,20.0L km,Petrol,Manual,2nd owner,Verified Owner,Kalra Colony Palwal
2014 Hyundai Xcent,SX 1.2,₹2.70 lakh,75.56k km,Petrol,Manual,3rd owner,Verified Owner,Lambakheda Bhopal Madhya Pradesh
2023 KIA CARENS,PRESTIGE 1.5 PETROL 7 STR,₹9.38 lakh,20.57k km,Petrol,Manual,1st owner,Verified Owner,Yashoda Nagar Kanpur Uttar Pradesh
2018 Maruti Wagon R 1.0,VXI,₹3.40 lakh,31.56k km,Petrol,Manual,1st owner,CARS24 Assured,"Maharishi Puram, Agra"
2022 Tata PUNCH,,₹5.68 lakh,55.29k km,Petrol,Manual,1st owner,CARS24 Assured,"Maharishi Puram, Agra"
2014 Maruti Swift Dzire,VXI,₹2.81 lakh,80.73k km,Petrol,Manual,3rd owner,Verified Owner,Naubasta Kanpur Uttar Pradesh
2011 Volkswagen Polo,,₹2.00 lakh,92.27k km,Petrol,Manual,2nd owner,Verified Owner,Jawaharnagar Ichalkaranji
2010 Hyundai Santro Xing,GL,₹0.64 lakh,1.2L km,Petrol,Manual,1st owner,Verified Owner,Sarai Azamabad Mathura
2015 Maruti Swift,VXI,₹2.90 lakh,7.0L km,Petrol,Manual,3rd owner,Verified Owner,Nariyalkheda Bhopal Madhya Pradesh
2014 Hyundai Elite i20,,₹3.83 lakh,39.20k km,Petrol,Manual,2nd owner,CARS24 Assured,"Akshar Chowk, Akota - Mujmahuda Road, Vadodara"
2023 Tata NEXON,XZA PLUS LUX SUNROOF KAZIRANGA PETROL,₹12.44 lakh,39.85k km,Petrol,Auto,1st owner,CARS24 Assured,"GT World Mall, Bengaluru"
2014 Maruti Alto 800,LXI,₹1.43 lakh,1.2L km,Petrol,Manual,5th owner,Verified Owner,Morbi Madhapar Part Gujarat
2021 KIA SELTOS,HTK PLUS 1.5,₹8.75 lakh,11.92k km,Petrol,Manual,1st owner,Verified Owner,Choura Bustee Shibpur Howrah
2019 Maruti Swift,VXI,₹5.50 lakh,46.00k km,Petrol,Manual,1st owner,Verified Dealer,"Changurabhata, Raipur"
2016 Hyundai Elite i20,,₹3.41 lakh,44.16k km,Petrol,Manual,2nd owner,Verified Owner,Murari Nagar Khurja
2017 Maruti Celerio,ZXI AMT,₹3.85 lakh,40.23k km,Petrol,Auto,1st owner,CARS24 Assured,"Paras Downtown Square, Chandigarh"
2020 Tata Harrier,XZA PLUS 2.0L DARK EDITION,₹10.50 lakh,1.6L km,Diesel,Auto,1st owner,Verified Owner,Adipur Gandhidham Gujarat
2020 Maruti Dzire,VXI,₹5.66 lakh,33.26k km,Petrol,Manual,1st owner,CARS24 Assured,"Atal Path, Patna"
2014 Volkswagen Polo,,₹3.63 lakh,96.03k km,Petrol,Manual,4th owner,Verified Owner,Ekmat Latur Maharashtra
2013 Hyundai i20,SPORTZ 1.2,₹2.29 lakh,90.33k km,Petrol,Manual,3rd owner,Verified Owner,Basti Sheikh Jalandhar Punjab
2008 BMW 5 Series,520D,₹5.99 lakh,57.98k km,Diesel,Auto,1st owner,Verified Dealer,"Plot no-788/1355,Sum Hospital, Bhubaneswar"
2021 Ford FREESTYLE,,₹5.50 lakh,68.52k km,Petrol,Manual,1st owner,Verified Owner,Don Bosco Area Ahmadnagar
2011 Toyota Etios,VX,₹2.00 lakh,38.81k km,Petrol,Manual,2nd owner,Verified Owner,Alcot Gardens Rajamahendravaram
2007 Mercedes Benz C Class,,₹2.00 lakh,66.79k km,Petrol,Auto,3rd owner,Verified Owner,NAIKA VADDO Calangute
2022 Hyundai Verna,S PLUS 1.5 VTVT,₹7.95 lakh,12.30k km,Petrol,Manual,1st owner,CARS24 Assured,"Dewas Naka, Lasudia Mori"
2021 Hyundai NEW SANTRO,,₹3.55 lakh,21.98k km,Petrol,Manual,1st owner,CARS24 Assured,"Newtown, Kolkata"
2014 Maruti Celerio,VXI,₹2.31 lakh,67.43k km,Petrol,Manual,1st owner,Verified Owner,DD colony Kurukshetra
2017 Honda BR-V,1.5L I-VTEC S,₹7.88 lakh,28.51k km,Petrol,Manual,1st owner,Verified Owner,Chalakkuzhi Thiruvananthapuram Kerala
2017 Hyundai Eon,ERA +,₹2.39 lakh,48.80k km,Petrol,Manual,2nd owner,Verified Owner,Kanjikuzhi Kottayam
2011 Maruti Ritz,VXI,₹1.62 lakh,38.36k km,Petrol,Manual,3rd owner,Verified Owner,Kanchrapara M Kanchrapara West Bengal
2019 Hyundai Creta,SX AT 1.6 PETROL,₹9.99 lakh,47.84k km,Petrol,Auto,2nd owner,CARS24 Assured,Nexus Whitefield
2016 Volkswagen Polo,,₹2.02 lakh,1.3L km,Diesel,Manual,2nd owner,Verified Owner,New Colony Extension Palwal Haryana
2021 Tata NEXON,XE PETROL,₹5.96 lakh,41.39k km,Petrol,Manual,1st owner,CARS24 Assured,"Kompally, Hyderabad"
2017 Maruti Baleno,DELTA DIESEL 1.3,₹4.84 lakh,81.96k km,Diesel,Manual,1st owner,CARS24 Assured,"Navalur, Chennai"
2013 Honda Amaze,1.2L I-VTEC S,₹1.90 lakh,74.06k km,Petrol,Manual,2nd owner,Verified Owner,Sector 19 Gurugram
2019 Hyundai Verna,1.6 VTVT SX,₹7.09 lakh,85.63k km,Petrol,Manual,1st owner,CARS24 Assured,"M3M Urbana, Golf Course Ext., Gurugram"
2022 Hyundai NEW I20,ASTA (O) 1.2 AT,₹7.96 lakh,20.32k km,Petrol,Auto,2nd owner,CARS24 Assured,"Thiruverkadu, Chennai"
2014 Hyundai Xcent,SX 1.2,₹4.53 lakh,77.01k km,Petrol,Manual,1st owner,Verified Dealer,"Shashi Nagar, Guruchhaya Colony, Amravati"
2014 Maruti Alto 800,LXI,₹1.45 lakh,37.58k km,Petrol,Manual,1st owner,Verified Owner,Panki Kanpur Uttar Pradesh
2013 Hyundai i20,ERA 1.2,₹2.63 lakh,34.36k km,Petrol,Manual,1st owner,Verified Owner,Kalmamol Ponda
2021 Hyundai NEW I20,ASTA (O) 1.5 CRDI MT,₹8.50 lakh,27.26k km,Diesel,Manual,1st owner,Verified Owner,Bagambag Colony Ujjain Madhya Pradesh
2022 Nissan MAGNITE,XE,₹4.75 lakh,40.33k km,Petrol,Manual,1st owner,CARS24 Assured,"Karnavati Club, Ahmedabad"
2015 Datsun Go Plus,T,₹1.87 lakh,74.75k km,Petrol,Manual,1st owner,Verified Owner,South Baksara Howrah West Bengal
2022 Maruti Alto,LXI O,₹3.47 lakh,26.72k km,Petrol,Manual,1st owner,CARS24 Assured,"Akshar Chowk, Akota - Mujmahuda Road, Vadodara"
2018 Honda Amaze,1.2L I-VTEC S OPT,₹3.64 lakh,69.95k km,Petrol,Manual,2nd owner,CARS24 Assured,"Gaur City mall, Multilevel parking, Greater Noida"
2019 Renault Duster,85 PS RXS MT DIESEL,₹5.80 lakh,75.53k km,Diesel,Manual,1st owner,CARS24 Assured,"CARS24 Network, Sundar Nagar, Hisar"
2020 Tata TIGOR,XZA PLUS PETROL,₹5.20 lakh,36.50k km,Petrol,Auto,1st owner,Verified Owner,Pangappara Thiruvananthapuram
2020 Skoda Rapid,STYLE TSI,₹9.20 lakh,25.96k km,Petrol,Manual,1st owner,CARS24 Assured,"Kompally, Hyderabad"
2022 Renault Kwid,RXT 1.0 (O),₹3.26 lakh,61.81k km,Petrol,Manual,1st owner,CARS24 Assured,"Kompally, Hyderabad"
2022 Maruti Baleno,SIGMA PETROL 1.2,₹5.14 lakh,30.91k km,Petrol,Manual,1st owner,Verified Owner,Manohar Park Society Mehsana
2015 Hyundai i10,MAGNA 1.1,₹2.66 lakh,83.39k km,Petrol,Manual,2nd owner,Verified Owner,Shyam Nagar Ankleshwar Gujarat
2018 Jeep Compass,SPORT 1.4 PETROL,₹10.78 lakh,43.49k km,Petrol,Manual,2nd owner,CARS24 Assured,"GT World Mall, Bengaluru"
2021 Maruti Baleno,SIGMA PETROL 1.2,₹4.97 lakh,49.19k km,Petrol,Manual,1st owner,CARS24 Assured,"Amanora Mall apex building, Pune"
2024 Maruti Alto K10,VXi (O),₹4.44 lakh,4.03k km,Petrol,Manual,1st owner,CARS24 Assured,"Naroda, Ahmedabad"
2018 Hyundai Elite i20,,₹5.28 lakh,74.51k km,Diesel,Manual,2nd owner,CARS24 Assured,"Akshar Party, Rajkot"
