Brand,Model,Price,Kms_driven,Fuel_type,Transmission,Ownership,Rating,State
2015 Hyundai Xcent,S 1.2,₹3.70 lakh,64.22k km,CNG,Manual,1st owner,CARS24 Assured,"Karnavati Club, Ahmedabad"
2018 Maruti Baleno,ALPHA PETROL 1.2,₹4.52 lakh,2.2L km,Petrol,Manual,1st owner,Verified Owner,Kailashpuri Rewa
2019 Hyundai Elite i20,,₹5.25 lakh,1.0L km,CNG,Manual,1st owner,CARS24 Assured,"CARS24 Network, Shubhash Nagar Chowk, Dehradun"
2018 Renault Kwid,RXT 1.0 AMT,₹3.59 lakh,45.40k km,Petrol,Auto,1st owner,CARS24 Assured,"Kompally, Hyderabad"
2016 Maruti Swift Dzire,VXI,₹3.41 lakh,89.25k km,Petrol,Manual,1st owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2019 Maruti Alto 800,LXI CNG,₹3.17 lakh,63.51k km,CNG,Manual,1st owner,CARS24 Assured,"Gaur City mall, Multilevel parking, Greater Noida"
2016 Renault Kwid,RXT 0.8,₹2.57 lakh,1.1L km,Petrol,Manual,2nd owner,CARS24 Assured,"Navalur, Chennai"
2016 Hyundai i10,MAGNA 1.1,₹3.60 lakh,49.09k km,Petrol,Manual,1st owner,CARS24 Assured,"Bellahalli, Bengaluru"
2022 Maruti Celerio,VXI,₹5.50 lakh,36.60k km,Petrol,Manual,1st owner,Verified Dealer,"Lekha Nagar, Nashik"
2018 Toyota Innova Crysta,,₹12.68 lakh,85.16k km,Diesel,Manual,1st owner,CARS24 Assured,"Gaur City mall, Multilevel parking, Greater Noida"
2021 Maruti New Wagon-R,,₹4.43 lakh,35.97k km,Petrol,Manual,1st owner,CARS24 Assured,"Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2016 Hyundai Grand i10,1.2 SPORTZ PRIME EDITION VTVT,₹4.59 lakh,58.41k km,Petrol,Manual,1st owner,CARS24 Assured,"Vaishnavi Sapphire Centre, Yeswanthpur"
2020 Tata Tiago,XZ PLUS PETROL,₹4.75 lakh,35.21k km,Petrol,Manual,1st owner,CARS24 Assured,"Gaur City mall, Multilevel parking, Greater Noida"
2015 Maruti Wagon R 1.0,VXI,₹3.20 lakh,42.67k km,Petrol,Manual,1st owner,Verified Dealer,"Plot no-788/1355,Sum Hospital, Bhubaneswar"
2013 Skoda Rapid,ELEGANCE 1.6 MPI MT,₹2.77 lakh,45.05k km,Petrol,Manual,2nd owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2021 Maruti Baleno,DELTA PETROL 1.2,₹5.38 lakh,34.70k km,Petrol,Manual,1st owner,CARS24 Assured,"M3M Urbana, Golf Course Ext., Gurugram"
2023 Tata PUNCH,CREATIVE MT,₹8.39 lakh,39.97k km,Petrol,Manual,1st owner,CARS24 Assured,"GT World Mall, Bengaluru"
2019 Tata Tiago,XZ PETROL,₹3.87 lakh,48.60k km,Petrol,Manual,1st owner,CARS24 Assured,"M3M Urbana, Golf Course Ext., Gurugram"
2023 Mahindra XUV700,AX 7 LUXURY P AT 7 STR,₹21.50 lakh,23.39k km,Petrol,Auto,2nd owner,Verified Owner,Sus Pune
2023 Mahindra XUV700,AX 7 LUXURY P AT 7 STR,₹23.86 lakh,39.04k km,Petrol,Auto,2nd owner,Verified Owner,Palayamkottai Tirunelveli
2013 Maruti Wagon R 1.0,LXI CNG,₹2.32 lakh,73.10k km,Petrol,Manual,1st owner,Verified Owner,Naubasta Kanpur Uttar Pradesh
2015 Hyundai Elite i20,,₹3.38 lakh,62.46k km,Petrol,Manual,1st owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2014 Maruti Alto 800,LXI,₹2.05 lakh,45.07k km,Petrol,Manual,2nd owner,CARS24 Assured,"Akshar Chowk, Akota - Mujmahuda Road, Vadodara"
2013 Hyundai i10,MAGNA 1.1,₹2.40 lakh,70.15k km,Petrol,Manual,1st owner,CARS24 Assured,"Himalaya Mall, Ahmedabad"
2018 Hyundai Eon,ERA +,₹2.41 lakh,82.42k km,Petrol,Manual,2nd owner,Verified Owner,Ramdavnagar Mehsana Gujarat
